Ticker                      Company   Market_Cap       EBIT           EV       EV_EBIT
  AIFF     FIREFLY NEUROSCIENCE INC      21.5233     -9.180      20.4073     -2.223017
   AIG AMERICAN INTERNATIONAL GROUP   46041.4701   4608.000   38817.4701      8.423930
  AIHS       SENMIAO TECHNOLOGY LTD       9.3631     -3.867       8.8991     -2.301293
   AIM           AIM IMMUNOTECH INC       3.4691    -11.664       5.3181     -0.455941
  AIMD                    AINOS INC       9.6481    -13.990      20.2311     -1.446112
   AIN      ALBANY INTL CORP  -CL A    1434.9621    -22.165    1789.9721    -80.756693
  AIOT               POWERFLEET INC     731.9048     15.036     970.1758     64.523530
   AIR                     AAR CORP    2200.3203    234.100    3151.0203     13.460147
  AIRG                  AIRGAIN INC      49.2275     -8.197      46.5705     -5.681408
  AIRI     AIR INDUSTRIES GROUP INC      14.6623     -0.338      40.8583   -120.882544
  AIRT                    AIR T INC      45.6807      2.343     167.1837     71.354545
   AIT  APPLIED INDUSTRIAL TECH INC    8802.4166    500.137    9184.6196     18.364207
   AIV    APARTMENT INVST & MGMT CO     832.5445   -160.983    1296.6515     -8.054587
   AIZ                 ASSURANT INC   11992.6441   1243.700   11939.2441      9.599778
   AJG      ARTHUR J GALLAGHER & CO   66502.8190   3269.000   78481.8190     24.007898
  AKAM      AKAMAI TECHNOLOGIES INC   12626.0348    628.242   17114.8898     27.242511
  AKBA      AKEBIA THERAPEUTICS INC     427.3343     36.306     452.0893     12.452192
   AKR          ACADIA REALTY TRUST    2691.5000     62.915    4555.5910     72.408662
    AL               AIR LEASE CORP    7196.0081   1239.475   26456.1871     21.344672
   ALB               ALBEMARLE CORP   16649.7510     78.488   18352.9620    233.831439
  ALBT        AVALON GLOBOCARE CORP       5.8248     -7.984       6.6558     -0.833642
  ALCO                    ALICO INC     264.9757    -24.103     312.5587    -12.967626
  ALDX     ALDEYRA THERAPEUTICS INC     311.6443    -35.266     257.1343     -7.291281
  ALEC                  ALECTOR INC     172.1663   -143.485     -47.6247      0.331914
  ALEX      ALEXANDER & BALDWIN INC    1503.0048     69.994    1997.3958     28.536672
   ALG              ALAMO GROUP INC    2012.9292    157.197    1923.5602     12.236622
  ALGN         ALIGN TECHNOLOGY INC   11143.4886    709.724   10163.0266     14.319688
  ALGS      ALIGOS THERAPEUTICS INC      57.5790    -87.985     -15.1250      0.171904
  ALGT          ALLEGIANT TRAVEL CO    1567.0921    174.872    2608.0951     14.914309
   ALK         ALASKA AIR GROUP INC    5811.2093    553.000   10553.2093     19.083561
  ALKT        ALKAMI TECHNOLOGY INC    2447.7731    -44.609    2717.2261    -60.912060
   ALL                ALLSTATE CORP   54147.3084  11978.000   54797.3084      4.574830
  ALLO        ALLOGENE THERAPEUTICS     314.2972   -203.527     147.3402     -0.723934
  ALLY           ALLY FINANCIAL INC   13971.6480   2381.000   23583.6480      9.904934
  ALNT                  ALLIENT INC     910.3100     48.025    1072.2340     22.326580
  ALNY  ALNYLAM PHARMACEUTICALS INC   52639.3164    501.578   52699.6304    105.067667
  ALOT                ASTRONOVA INC      87.4756      6.615     130.9446     19.795102
  ALOY                 REALLOYS INC      34.8895     -4.028      35.5945     -8.836768
  ALRM       ALARM.COM HOLDINGS INC    2532.1736    135.510    2620.2726     19.336378
  ALRS        ALERUS FINANCIAL CORP     572.1431     72.254     909.2151     12.583595
  ALSN   ALLISON TRANSMISSION HLDGS    8108.9591    973.000    9521.9591      9.786186
   ALT                ALTIMMUNE INC     400.2876    -91.889     162.4776     -1.768194
  ALTO         ALTO INGREDIENTS INC     222.6470      7.705     294.5710     38.231149
  ALTS              ALT5 SIGMA CORP      71.6937     -7.562      77.5847    -10.259812
   ALV                  AUTOLIV INC    8867.4835   1084.000   10581.4835      9.761516
   ALX              ALEXANDER'S INC    1113.0196     65.191    1771.5406     27.174619
  ALXO       ALX ONCOLOGY HOLDI INC      61.4584   -100.846      31.4384     -0.311747
    AM        ANTERO MIDSTREAM CORP    8433.5274    734.080   11393.1224     15.520274
  AMAL   AMALGAMATED FINANCIAL CORP     955.0705    193.665     696.9935      3.598965
  AMAT        APPLIED MATERIALS INC  184848.3000   8517.000  183325.3000     21.524633
   AMC   AMC ENTERTAINMENT HOLDINGS     800.1926     29.700    8458.8926    284.811199
  AMCX         AMC GLOBAL MEDIA INC     406.4945    257.642    1756.3145      6.816880
   AMD       ADVANCED MICRO DEVICES  349080.8000   4314.000  342517.8000     79.396801
   AME                   AMETEK INC   47023.5865   1935.618   49137.1435     25.385765
   AMG  AFFILIATED MANAGERS GRP INC    7783.5600    640.800    9977.8600     15.570943
  AMGN                    AMGEN INC  176354.6280  11802.000  222660.6280     18.866347
   AMH        AMERICAN HOMES 4 RENT   11769.6897    451.866   16651.9307     36.851480
  AMKR         AMKOR TECHNOLOGY INC    9763.5224    434.985    9438.1534     21.697653
   AMN  AMN HEALTHCARE SERVICES INC     605.8302     42.067    1353.4322     32.173252
   AMP     AMERIPRISE FINANCIAL INC   44750.3898   4830.000   37941.3898      7.855360
  AMPH AMPHASTAR PHARMACEUTICLS INC    1222.3731    163.550    1593.1281      9.740924
  AMPY          AMPLIFY ENERGY CORP     186.0904    -30.775     129.1764     -4.197446
   AMR ALPHA METALLURGICAL RESOURCE    2559.6633    -51.347    2162.8603    -42.122428
  AMRC                 AMERESCO INC    1548.2987    125.548    3808.6987     30.336594
  AMRX   AMNEAL PHARMACEUTICALS INC    3963.5190    392.674    6341.6940     16.150023
   AMS   AMERICAN SHARED HSPTL SERV      20.4798      1.778      31.1128     17.498763
  AMSC   AMERICAN SUPERCONDUCTOR CP     716.2398      6.700     638.5018     95.298776
  AMSF                AMERISAFE INC     721.9160     58.851     576.6850      9.799069
   AMT          AMERICAN TOWER CORP   81871.4513   4797.600  125230.1513     26.102666
